name,slug,description,image,images,price,old_price,sku,brand,category,label,stock,inStock,colors,materials,size,weight
"Urban Home Leaf Coffee Table","urban-home-leaf-coffee-table","Urban Home presents the Leaf Coffee Table, made from high-quality Metal with attention to every detail.","/images/products/coffee-table/coffee-table-1.jpg","/images/products/coffee-table/coffee-table-1.jpg;/images/products/coffee-table/coffee-table-10.jpg;/images/products/coffee-table/coffee-table-7.jpg;/images/products/coffee-table/coffee-table-3.jpg","5500","0","CTB-URB-0011","tsms1tlzkfm7b3q","dymsuwpfv2f4iud","","2","true","Black","Metal","99×43×61 cm","22"
"Scandi House Compact TV Stand","scandi-house-compact-tv-stand","Scandi House presents the Compact TV Stand, made from high-quality Wood with attention to every detail.","/images/products/tv-stand/tv-stand-8.jpg","/images/products/tv-stand/tv-stand-8.jpg;/images/products/tv-stand/tv-stand-10.jpg;/images/products/tv-stand/tv-stand-6.jpg;/images/products/tv-stand/tv-stand-4.jpg","17040","0","TVS-SCA-0012","zz92iap7h1xi63i","dymsuwpfv2f4iud","sale","11","true","White","Wood","194×50×38 cm","31"
"Nordic Living Nova Bed","nordic-living-nova-bed","The Nordic Living Nova Bed is crafted from premium Wood in White color. Designed for modern interiors and everyday comfort.","/images/products/bed/bed-10.jpg","/images/products/bed/bed-10.jpg;/images/products/bed/bed-4.jpg;/images/products/bed/bed-6.jpg;/images/products/bed/bed-3.jpg","18670","22404","BED-NOR-0013","iutrl92llqlgm3g","7lpl6gg7rju16bf","","5","true","White","Wood","211×114×220 cm","46"
"WoodCraft Classic Wardrobe","woodcraft-classic-wardrobe","The WoodCraft Classic Wardrobe is crafted from premium Wood in Gray color. Designed for modern interiors and everyday comfort.","/images/products/wardrobe/wardrobe-6.jpg","/images/products/wardrobe/wardrobe-6.jpg;/images/products/wardrobe/wardrobe-5.jpg;/images/products/wardrobe/wardrobe-4.jpg;/images/products/wardrobe/wardrobe-2.jpg","29600","0","WRD-WOO-0014","ex0s2a26z4831mk","7lpl6gg7rju16bf","exclusive","11","true","Gray","Wood","121×236×58 cm","98"
"Urban Home Family Dining Table","urban-home-family-dining-table","Urban Home presents the Family Dining Table, made from high-quality Wood with attention to every detail.","/images/products/dining-table/dining-table-1.jpg","/images/products/dining-table/dining-table-1.jpg;/images/products/dining-table/dining-table-9.jpg;/images/products/dining-table/dining-table-7.jpg;/images/products/dining-table/dining-table-3.jpg","9000","0","DTB-URB-0015","tsms1tlzkfm7b3q","dymsuwpfv2f4iud","","12","true","Black,Walnut","Wood","147×78×90 cm","52"
"Nordic Living Leaf Dining Chair","nordic-living-leaf-dining-chair","Inspired by minimalist design, the Nordic Living Leaf Dining Chair offers timeless aesthetics and excellent functionality.","/images/products/dining-chair/dining-chair-5.jpg","/images/products/dining-chair/dining-chair-5.jpg;/images/products/dining-chair/dining-chair-1.jpg;/images/products/dining-chair/dining-chair-3.jpg;/images/products/dining-chair/dining-chair-7.jpg","5100","6120","DCH-NOR-0016","iutrl92llqlgm3g","je3qeudhmgar0ot","","2","true","White","Metal","51×96×55 cm","4"
"Urban Home Focus Desk","urban-home-focus-desk","Inspired by industrial design, the Urban Home Focus Desk offers timeless aesthetics and excellent functionality.","/images/products/desk/desk-1.jpg","/images/products/desk/desk-1.jpg;/images/products/desk/desk-4.jpg;/images/products/desk/desk-9.jpg;/images/products/desk/desk-6.jpg","8250","0","DSK-URB-0017","tsms1tlzkfm7b3q","qe8s23nq0wmhyja","hit","9","true","Black","Wood","170×75×76 cm","39"
"Casa Nova Pro Office Chair","casa-nova-pro-office-chair","Inspired by mediterranean design, the Casa Nova Pro Office Chair offers timeless aesthetics and excellent functionality.","/images/products/office-chair/office-chair-7.jpg","/images/products/office-chair/office-chair-7.jpg;/images/products/office-chair/office-chair-9.jpg;/images/products/office-chair/office-chair-6.jpg;/images/products/office-chair/office-chair-8.jpg","13460","0","OCH-CAS-0018","52rxg9ibu1gs9vq","qe8s23nq0wmhyja","","13","true","White,Gray","Mesh","55×113×55 cm","20"
"Modern Line Nova Sofa","modern-line-nova-sofa","The Modern Line Nova Sofa is crafted from premium Velvet in Beige color. Designed for modern interiors and everyday comfort.","/images/products/sofa/sofa-7.jpg","/images/products/sofa/sofa-7.jpg;/images/products/sofa/sofa-5.jpg;/images/products/sofa/sofa-8.jpg;/images/products/sofa/sofa-4.jpg","64220","0","SOF-MOD-0019","p3lw7ul4zomuay3","t4a21dkld5ktv4u","","8","true","Beige,Cream","Velvet","243×95×93 cm","65"
"Casa Nova Stone Coffee Table","casa-nova-stone-coffee-table","Inspired by mediterranean design, the Casa Nova Stone Coffee Table offers timeless aesthetics and excellent functionality.","/images/products/coffee-table/coffee-table-3.jpg","/images/products/coffee-table/coffee-table-3.jpg;/images/products/coffee-table/coffee-table-10.jpg;/images/products/coffee-table/coffee-table-8.jpg;/images/products/coffee-table/coffee-table-7.jpg","6050","7260","CTB-CAS-0020","52rxg9ibu1gs9vq","dymsuwpfv2f4iud","sale","1","true","Black,Oak","Metal","100×46×79 cm","17"
"Scandi House Vision TV Stand","scandi-house-vision-tv-stand","Scandi House presents the Vision TV Stand, made from high-quality Wood with attention to every detail.","/images/products/tv-stand/tv-stand-4.jpg","/images/products/tv-stand/tv-stand-4.jpg;/images/products/tv-stand/tv-stand-5.jpg;/images/products/tv-stand/tv-stand-6.jpg;/images/products/tv-stand/tv-stand-7.jpg","13820","0","TVS-SCA-0021","zz92iap7h1xi63i","dymsuwpfv2f4iud","","0","false","White,Oak","Wood","168×65×50 cm","32"
"Nordic Living Comfort Bed","nordic-living-comfort-bed","Inspired by minimalist design, the Nordic Living Comfort Bed offers timeless aesthetics and excellent functionality.","/images/products/bed/bed-3.jpg","/images/products/bed/bed-3.jpg;/images/products/bed/bed-4.jpg;/images/products/bed/bed-10.jpg;/images/products/bed/bed-7.jpg","26020","0","BED-NOR-0022","iutrl92llqlgm3g","7lpl6gg7rju16bf","","0","false","Beige","Leather","177×130×214 cm","61"
"Modern Line Slide Wardrobe","modern-line-slide-wardrobe","Inspired by modern design, the Modern Line Slide Wardrobe offers timeless aesthetics and excellent functionality.","/images/products/wardrobe/wardrobe-8.jpg","/images/products/wardrobe/wardrobe-8.jpg;/images/products/wardrobe/wardrobe-7.jpg;/images/products/wardrobe/wardrobe-9.jpg;/images/products/wardrobe/wardrobe-3.jpg","38730","46476","WRD-MOD-0023","p3lw7ul4zomuay3","7lpl6gg7rju16bf","","10","true","White","Wood","172×185×70 cm","81"
"Urban Home Oak Dining Table","urban-home-oak-dining-table","Urban Home presents the Oak Dining Table, made from high-quality Wood with attention to every detail.","/images/products/dining-table/dining-table-5.jpg","/images/products/dining-table/dining-table-5.jpg;/images/products/dining-table/dining-table-4.jpg;/images/products/dining-table/dining-table-10.jpg;/images/products/dining-table/dining-table-7.jpg","18340","0","DTB-URB-0024","tsms1tlzkfm7b3q","dymsuwpfv2f4iud","","3","true","Oak","Wood","168×75×83 cm","55"
"WoodCraft Simple Dining Chair","woodcraft-simple-dining-chair","WoodCraft presents the Simple Dining Chair, made from high-quality Metal with attention to every detail.","/images/products/dining-chair/dining-chair-7.jpg","/images/products/dining-chair/dining-chair-7.jpg;/images/products/dining-chair/dining-chair-4.jpg;/images/products/dining-chair/dining-chair-3.jpg;/images/products/dining-chair/dining-chair-6.jpg","8690","10428","DCH-WOO-0025","ex0s2a26z4831mk","je3qeudhmgar0ot","sale","3","true","Beige","Metal","44×87×45 cm","11"
"Oak Studio Smart Desk","oak-studio-smart-desk","Inspired by natural design, the Oak Studio Smart Desk offers timeless aesthetics and excellent functionality.","/images/products/desk/desk-2.jpg","/images/products/desk/desk-2.jpg;/images/products/desk/desk-1.jpg;/images/products/desk/desk-6.jpg;/images/products/desk/desk-4.jpg","10790","12948","DSK-OAK-0026","lxr94wnsnqqpsqe","qe8s23nq0wmhyja","new","8","true","Oak","Wood","154×72×70 cm","31"
"Modern Line Pro Office Chair","modern-line-pro-office-chair","Inspired by modern design, the Modern Line Pro Office Chair offers timeless aesthetics and excellent functionality.","/images/products/office-chair/office-chair-5.jpg","/images/products/office-chair/office-chair-5.jpg;/images/products/office-chair/office-chair-1.jpg;/images/products/office-chair/office-chair-8.jpg;/images/products/office-chair/office-chair-10.jpg","13920","0","OCH-MOD-0027","p3lw7ul4zomuay3","qe8s23nq0wmhyja","sale","12","true","White","Mesh","65×119×59 cm","14"
"Nordic Living Stockholm Sofa","nordic-living-stockholm-sofa","Inspired by minimalist design, the Nordic Living Stockholm Sofa offers timeless aesthetics and excellent functionality.","/images/products/sofa/sofa-8.jpg","/images/products/sofa/sofa-8.jpg;/images/products/sofa/sofa-5.jpg;/images/products/sofa/sofa-3.jpg;/images/products/sofa/sofa-10.jpg","25140","30168","SOF-NOR-0028","iutrl92llqlgm3g","t4a21dkld5ktv4u","exclusive","19","true","Green","Velvet","259×92×93 cm","53"
"Oak Studio Cube Coffee Table","oak-studio-cube-coffee-table","Inspired by natural design, the Oak Studio Cube Coffee Table offers timeless aesthetics and excellent functionality.","/images/products/coffee-table/coffee-table-5.jpg","/images/products/coffee-table/coffee-table-5.jpg;/images/products/coffee-table/coffee-table-2.jpg;/images/products/coffee-table/coffee-table-9.jpg;/images/products/coffee-table/coffee-table-1.jpg","8660","10392","CTB-OAK-0029","lxr94wnsnqqpsqe","dymsuwpfv2f4iud","sale","17","true","Oak","Metal","86×49×78 cm","14"
"Casa Nova Nova TV Stand","casa-nova-nova-tv-stand","The Casa Nova Nova TV Stand is crafted from premium Wood in White color. Designed for modern interiors and everyday comfort.","/images/products/tv-stand/tv-stand-10.jpg","/images/products/tv-stand/tv-stand-10.jpg;/images/products/tv-stand/tv-stand-9.jpg;/images/products/tv-stand/tv-stand-2.jpg;/images/products/tv-stand/tv-stand-6.jpg","19880","0","TVS-CAS-0030","52rxg9ibu1gs9vq","dymsuwpfv2f4iud","","5","true","White,Black","Wood","209×46×43 cm","26"
